Course ID,Student ID,Term,Grade
46459,91322868,Fall 2012,B+
46460,91322868,Winter 2013,C
46461,91322868,Winter 2013,B-
46463,20807873,Summer 2018,C
47275,20807873,Fall 2017,B-
47815,20807873,Summer 2012,B-
48157,19465757,Winter 2012,C
48158,19465757,Summer 2011,A+
48163,19465757,Fall 2012,F
48368,70510656,Winter 2016,F
48369,70510656,Fall 2014,A
48745,36885943,Winter 2018,F
48746,36885943,Summer 2017,A
48747,36885943,Summer 2017,F
48748,36885943,Summer 2018,C
46464,59982291,Fall 2012,B+
924,59982291,Winter 2014,C
46465,59982291,Fall 2018,B-
46466,59982291,Winter 2011,F
46468,41850779,Summer 2014,C
981,29694638,Fall 2018,F
982,29694638,Fall 2013,B
985,17843742,Fall 2020,A+
986,17843742,Winter 2017,C
988,86494124,Winter 2013,A+
989,86494124,Summer 2018,B+
994,86494124,Winter 2020,C
996,37235490,Fall 2019,B+
1004,80020933,Summer 2011,A-
1005,80020933,Winter 2020,B-
1006,80020933,Winter 2011,C
1010,33613644,Summer 2018,A
1011,33613644,Summer 2012,A
1013,88318605,Fall 2015,A+
1014,88318605,Fall 2013,F
1016,88318605,Fall 2017,A-
1023,32407379,Winter 2020,A+
1024,32407379,Summer 2020,A-
1025,32407379,Winter 2011,B-
1066,76001921,Winter 2013,B-
1067,76001921,Fall 2019,F
1068,76001921,Summer 2020,A+
1070,76001921,Summer 2015,B
1072,11974513,Winter 2012,B+
1073,11974513,Fall 2020,A-
1081,11974513,Winter 2013,A-
1082,11974513,Winter 2013,F
1085,85817137,Fall 2018,B
1146,40020786,Fall 2011,A+
1148,40020786,Summer 2013,A+
13985,40020786,Winter 2018,B
31440,40020786,Summer 2015,B
31512,10353949,Fall 2020,A
31523,10353949,Fall 2015,A-
31525,10353949,Fall 2019,A-
31607,10353949,Summer 2016,C
31626,50731736,Winter 2016,F
40048,88326918,Fall 2015,F
46470,76726135,Winter 2015,F
46471,76726135,Summer 2019,F
46472,76726135,Summer 2016,A
46474,15578692,Winter 2011,A+
46475,15578692,Summer 2017,C
46477,82408106,Winter 2016,B
47227,57564722,Summer 2015,B+
47244,10658138,Winter 2016,B+
47800,10658138,Summer 2016,A
48317,68791370,Summer 2019,A
49185,88911489,Winter 2018,F
49506,13384411,Summer 2016,B+
49577,13384411,Fall 2014,A-
49628,13384411,Fall 2011,A
1219,92592421,Winter 2017,A-
1224,46259726,Fall 2019,B
1226,46259726,Summer 2017,B-
1229,85642204,Winter 2018,B+
1230,85642204,Winter 2020,B-
1233,85642204,Summer 2019,B
1235,64024613,Summer 2018,A
1236,64024613,Winter 2015,B
1238,64024613,Winter 2015,A
1240,74052255,Fall 2015,B-
1241,74052255,Summer 2016,A
1242,74052255,Fall 2019,B+
1256,74052255,Summer 2015,F
1263,59237264,Summer 2015,A+
1265,59237264,Fall 2011,F
1268,59237264,Summer 2012,A+
1308,59237264,Summer 2013,A-
40074,40613092,Summer 2018,A+
44005,40613092,Fall 2015,B-
47618,99326310,Fall 2014,B+
47978,99326310,Summer 2011,A+
1377,99326310,Summer 2011,B
46480,17924527,Winter 2013,A
46481,17924527,Fall 2014,A
46483,87010818,Fall 2013,A+
46484,87010818,Fall 2011,B-
1566,15670958,Fall 2014,F
40089,15670958,Winter 2011,F
46488,38795077,Winter 2018,A
46489,38795077,Summer 2020,C
1773,38795077,Fall 2020,A-
1799,38795077,Fall 2011,B
1885,67680894,Winter 2011,B+
1896,67680894,Fall 2012,B-
1903,90440524,Summer 2011,A
1905,90440524,Summer 2019,F
1906,90440524,Fall 2011,B
46490,26729778,Summer 2020,A+
46492,52861683,Summer 2019,B+
46493,52861683,Fall 2018,B
46494,52861683,Fall 2017,A+
46495,52861683,Summer 2013,B+
1925,56247692,Winter 2011,A+
1937,56247692,Winter 2011,B+
1938,56247692,Summer 2013,A
1939,56247692,Winter 2014,A+
1942,62398371,Winter 2016,A-
1944,62398371,Winter 2015,A-
1945,62398371,Fall 2012,B+
1950,54764915,Summer 2020,A-
1972,54764915,Winter 2018,C
1993,54764915,Winter 2017,B-
2006,54764915,Fall 2013,B
2016,51849930,Fall 2018,A+
2017,51849930,Summer 2019,A+
2018,51849930,Summer 2013,B-
2020,61018439,Summer 2019,B+
2021,61018439,Fall 2011,B+
2022,61018439,Fall 2016,A
2024,26601457,Fall 2014,B
2025,26601457,Fall 2017,A+
2026,26601457,Winter 2014,B
2028,85248369,Summer 2015,B
2029,85248369,Winter 2018,B+
2030,85248369,Winter 2018,A
2033,92568501,Fall 2018,B-
2035,11919178,Winter 2013,A+
2038,65430071,Fall 2017,B-
2039,65430071,Fall 2012,B-
2040,65430071,Fall 2013,A+
2042,69038838,Winter 2019,A-
2043,69038838,Fall 2018,A+
2046,44745292,Fall 2013,A-
2047,44745292,Winter 2012,F
2050,44745292,Summer 2013,B
2052,92424243,Winter 2020,F
2056,92424243,Summer 2015,A+
2057,92424243,Fall 2016,B
2058,92424243,Summer 2018,A-
2060,30421408,Winter 2012,F
2064,30421408,Winter 2013,B+
2068,87522529,Summer 2020,B-
2097,87522529,Summer 2013,A
2100,87522529,Winter 2014,B+
2181,49254975,Summer 2013,B-
2201,44903973,Winter 2019,B+
2203,44903973,Summer 2017,A+
2206,44903973,Winter 2015,B-
2215,44903973,Summer 2019,C
2281,13982731,Winter 2014,A+
2285,13982731,Winter 2017,A
2298,13982731,Fall 2015,A
40143,13982731,Fall 2020,B-
46498,10998351,Fall 2016,B
46500,10998351,Summer 2019,A+
46501,10998351,Fall 2016,B-
46502,10998351,Fall 2015,C
46504,99080809,Winter 2013,A-
46505,99080809,Fall 2017,A
46507,99080809,Fall 2011,B
46515,52733175,Fall 2011,B+
46516,52733175,Fall 2016,B-
46517,52733175,Summer 2020,B
2543,27518450,Winter 2013,C
2545,27518450,Fall 2014,A
2546,27518450,Fall 2011,A-
2547,27518450,Fall 2016,B+
2557,29291118,Winter 2016,B-
2561,29291118,Fall 2018,C
2580,67476926,Winter 2017,A+
2584,72740767,Fall 2015,A-
2585,72740767,Fall 2012,A-
2586,72740767,Winter 2016,B+
2588,76466394,Fall 2013,C
2589,76466394,Winter 2017,B
2591,73538241,Winter 2014,A-
2592,73538241,Fall 2019,A-
2593,73538241,Summer 2016,A
2594,73538241,Fall 2015,B-
2625,64909214,Fall 2015,B+
2628,64909214,Winter 2016,B+
2630,64909214,Summer 2017,B+
2632,22910078,Winter 2014,A-
2641,22910078,Winter 2018,F
2642,22910078,Fall 2016,A
2659,70239109,Winter 2015,A-
2661,70239109,Fall 2013,A-
2686,53458803,Winter 2011,B-
2690,53458803,Fall 2018,B+
2706,74065379,Summer 2016,A+
2717,60560811,Winter 2013,B
2720,73393380,Fall 2011,C
2728,49927017,Winter 2019,B+
2729,49927017,Fall 2020,B+
2730,49927017,Fall 2015,C
2735,16051507,Fall 2013,B-
2778,81704572,Winter 2019,F
2790,12613898,Winter 2016,A
2795,30123196,Winter 2015,A
2796,30123196,Winter 2015,C
2798,30123196,Fall 2011,F
2804,96142795,Winter 2020,A+
2805,96142795,Winter 2017,B-
2810,12324401,Summer 2013,A
2812,87820980,Summer 2020,A-
2814,37513688,Fall 2019,F
2815,37513688,Summer 2020,B-
2817,37513688,Fall 2012,B
2844,35526916,Fall 2020,B
2847,81572477,Winter 2016,A
2852,81572477,Summer 2019,A+
2858,95620487,Summer 2017,A
2859,95620487,Fall 2015,B-
2879,16849065,Fall 2018,A-
2902,35329193,Summer 2018,A
2924,35329193,Summer 2017,A-
2927,35329193,Fall 2014,C
2930,35329193,Winter 2017,B
2945,72849777,Summer 2020,A-
2951,89791603,Summer 2015,A+
2953,89791603,Fall 2015,A-
2958,89791603,Winter 2020,C
2981,47494419,Summer 2016,A
2989,47494419,Fall 2020,A-
2992,47494419,Summer 2017,F
2994,47494419,Fall 2014,F
3000,58968987,Summer 2017,A-
3001,58968987,Fall 2014,C
3003,58968987,Fall 2011,B-
3004,58968987,Winter 2019,A
40162,17342942,Winter 2012,A-
40163,17342942,Summer 2014,A+
40164,17342942,Winter 2013,F
40187,17342942,Winter 2019,B-
40210,93031218,Fall 2012,A+
40211,93031218,Fall 2014,C
40212,93031218,Summer 2012,B-
46520,16798445,Fall 2011,A-
46521,16798445,Winter 2013,B-
46522,16798445,Fall 2013,B-
46523,16798445,Winter 2019,A
46527,93633441,Fall 2018,B
46528,93633441,Fall 2013,B-
48775,86687459,Winter 2017,B
49426,86687459,Fall 2019,A
46529,99535451,Fall 2011,B
46530,99535451,Summer 2012,B+
46533,98571233,Summer 2015,C
46535,42328799,Fall 2013,A
3323,56255867,Fall 2015,B+
3324,56255867,Fall 2016,F
3325,56255867,Winter 2013,B
3330,56255867,Winter 2013,F
3332,10677821,Summer 2020,A+
3333,10677821,Fall 2019,A
3334,10677821,Summer 2014,F
3335,10677821,Summer 2012,A
3341,99276836,Fall 2014,B+
3342,99276836,Fall 2013,B-
3343,99276836,Fall 2018,A+
3344,99276836,Summer 2015,F
3346,56318544,Fall 2018,C
3351,56318544,Fall 2016,B
3353,56318544,Summer 2014,B+
3356,56318544,Fall 2015,B
3361,37615244,Summer 2019,F
3363,37615244,Winter 2016,F
3365,37615244,Summer 2015,B
3367,37615244,Winter 2018,B-
3372,57544507,Fall 2015,B-
3374,57544507,Winter 2014,B-
3389,40009751,Summer 2013,A-
3391,40009751,Winter 2020,B+
3395,40009751,Winter 2012,F
3399,54608329,Winter 2011,A
3405,54608329,Fall 2013,B
3411,54907803,Summer 2012,A
3415,54907803,Winter 2016,A-
3419,49225826,Winter 2018,A-
3421,49225826,Fall 2012,A+
3423,49225826,Fall 2019,A
40218,49225826,Summer 2011,A
40221,70254735,Winter 2013,B+
40222,70254735,Summer 2019,A-
40223,70254735,Summer 2012,A+
40224,70254735,Summer 2017,A+
40226,30756082,Summer 2019,B+
46536,30756082,Fall 2018,A
46538,48104725,Winter 2020,B
46539,48104725,Summer 2013,B-
46540,48104725,Fall 2013,B
47832,78760017,Winter 2020,B+
47961,42772159,Fall 2019,A+
49695,42772159,Fall 2016,F
49696,42772159,Fall 2020,B
49697,42772159,Summer 2015,B+
3519,96236613,Winter 2016,A-
3520,96236613,Fall 2014,C
3521,96236613,Fall 2018,A
48076,35049947,Fall 2011,B+
48077,35049947,Fall 2016,F
48078,35049947,Summer 2017,C
3523,76484483,Winter 2014,A-
3524,76484483,Fall 2018,C
3526,49462177,Fall 2011,F
3527,49462177,Winter 2018,F
3528,49462177,Summer 2018,C
3530,16961267,Summer 2015,F
3532,75554508,Winter 2012,A+
48074,39929892,Summer 2013,B-
48080,12462026,Summer 2020,B+
46541,53156286,Fall 2019,A
46542,53156286,Summer 2013,B+
3682,10173387,Summer 2015,A-
3683,10173387,Summer 2013,A+
3685,10173387,Winter 2011,B
3687,10173387,Winter 2017,B
3695,92193231,Winter 2011,A
3696,92193231,Summer 2014,C
3697,92193231,Winter 2020,A-
3698,92193231,Fall 2019,A
3704,32051531,Fall 2020,A-
3705,32051531,Fall 2011,A-
3715,32051531,Summer 2011,C
3717,42704950,Winter 2016,B-
3718,42704950,Winter 2011,B-
3719,42704950,Winter 2011,C
3722,96958612,Winter 2019,A+
3723,96958612,Fall 2013,C
40231,56958245,Fall 2014,A-
46545,56958245,Winter 2013,C
46546,56958245,Winter 2012,A-
46549,55659812,Fall 2019,B
3796,79678169,Winter 2019,B-
3801,79678169,Summer 2015,B
3804,79678169,Winter 2019,B
3805,79678169,Winter 2016,F
3810,76046076,Winter 2012,B-
3819,76046076,Fall 2020,B+
3820,76046076,Summer 2017,B
3823,76046076,Winter 2016,F
3835,63319469,Fall 2017,B-
3851,63319469,Summer 2018,A
3870,98872725,Summer 2020,A
3890,38437379,Summer 2018,A
3905,38437379,Winter 2020,B
3912,38437379,Summer 2015,F
3915,38437379,Winter 2020,A+
3918,90483482,Winter 2012,B+
3921,90483482,Summer 2020,A
3922,90483482,Fall 2012,A
3927,90483482,Fall 2020,B+
3938,39717149,Fall 2014,C
3943,39717149,Fall 2015,F
3958,87866109,Fall 2012,A-
3964,87866109,Fall 2013,B-
3965,87866109,Winter 2011,A+
3970,72580407,Winter 2013,A+
3974,72580407,Winter 2019,B-
3982,72580407,Winter 2011,B
4025,94524751,Fall 2012,B-
4031,94524751,Summer 2019,A-
4049,46387509,Winter 2012,A-
4052,46387509,Summer 2014,C
4055,10065630,Winter 2011,F
4066,58130221,Summer 2014,A+
4068,58130221,Summer 2020,B
4071,87267800,Fall 2015,A
4077,12426168,Summer 2017,B-
4085,88203606,Fall 2016,B-
4090,78456077,Summer 2019,A
4092,78456077,Fall 2020,C
4101,78456077,Winter 2017,A
4125,19378521,Fall 2016,B+
37615,56241291,Winter 2016,F
40252,56241291,Winter 2017,A
40280,56241291,Fall 2015,A-
44017,37822104,Winter 2016,A+
46551,37822104,Winter 2014,A-
46553,67316401,Summer 2013,B+
46555,78551965,Winter 2020,A
47737,78551965,Winter 2020,A+
48422,78551965,Summer 2014,B+
48551,78551965,Winter 2019,B-
48971,27173362,Fall 2014,B
48973,69100256,Winter 2015,A-
48974,69100256,Winter 2019,B+
48975,69100256,Winter 2018,A-
49223,29545213,Winter 2011,B
49224,29545213,Winter 2018,B
49709,29987383,Summer 2012,A-
4295,12758642,Fall 2013,A+
4296,12758642,Winter 2012,B
4303,22523283,Winter 2015,A
4318,22523283,Winter 2014,F
37621,22523283,Summer 2011,F
37624,22523283,Fall 2013,A
40292,60701482,Summer 2015,A
40300,60701482,Winter 2015,B-
40301,60701482,Summer 2015,A
45238,60701482,Summer 2012,B-
46560,93921035,Summer 2014,F
47422,93921035,Winter 2016,B-
4370,93921035,Summer 2014,A+
4371,93921035,Winter 2020,F
46563,11630078,Summer 2011,A
4421,11630078,Winter 2020,A
4422,11630078,Fall 2012,A
4426,11630078,Winter 2014,A+
4429,66575460,Fall 2011,C
4430,66575460,Summer 2016,F
4432,28137451,Winter 2014,B-
4444,42161875,Fall 2018,A-
4445,42161875,Winter 2015,B+
4448,42161875,Winter 2012,F
4449,42161875,Summer 2012,B+
4451,59164340,Summer 2018,A-
4452,59164340,Summer 2015,B
4453,59164340,Fall 2018,C
4454,59164340,Summer 2015,A
4459,11354013,Summer 2017,B-
4460,11354013,Winter 2016,A
4466,11354013,Summer 2019,C
4482,20267178,Winter 2012,A+
4483,20267178,Fall 2017,B
4484,20267178,Winter 2017,B+
4489,78972302,Fall 2017,B+
4494,78972302,Winter 2020,B
4496,78972302,Winter 2015,B-
4502,66398201,Winter 2014,B-
4503,66398201,Summer 2016,F
4505,66398201,Fall 2015,F
4509,41686650,Summer 2012,B
4515,46025585,Winter 2014,B+
4517,46025585,Winter 2011,F
4521,87385832,Summer 2012,B
4523,87385832,Winter 2017,B-
4527,40024366,Fall 2014,B+
4553,40024366,Fall 2016,A
4560,40024366,Fall 2012,B-
40305,40024366,Summer 2015,B
40308,10292422,Summer 2018,C
40309,10292422,Fall 2013,B-
45929,51655041,Summer 2017,A
46564,51655041,Fall 2018,A-
46565,51655041,Winter 2019,C
46567,61024165,Fall 2012,A+
47824,61024165,Summer 2015,A
47962,61024165,Winter 2016,F
47963,61024165,Winter 2015,C
48388,61088625,Summer 2013,C
49130,61088625,Winter 2013,A
49539,61088625,Fall 2011,B
4705,72873346,Winter 2011,C
4709,72873346,Summer 2013,A+
4713,92428318,Winter 2011,A+
4715,92428318,Winter 2016,B
4719,92428318,Winter 2014,A+
4721,62652094,Summer 2016,A-
4722,62652094,Fall 2011,A+
4723,62652094,Winter 2020,A+
4724,62652094,Summer 2019,C
4728,76170982,Summer 2019,B-
4746,49235987,Summer 2011,B+
4753,49235987,Fall 2013,A+
4754,49235987,Winter 2011,A
4757,49235987,Summer 2018,B
4767,50019894,Summer 2016,A+
4781,50019894,Fall 2013,C
4782,50019894,Fall 2020,B+
4790,50019894,Fall 2016,A
4816,68207739,Winter 2011,B+
4827,68207739,Winter 2011,B-
4871,81314392,Fall 2019,B
4881,81314392,Fall 2014,B
46568,81314392,Fall 2019,A-
46571,54176482,Summer 2016,C
46572,54176482,Fall 2011,A+
46573,54176482,Winter 2018,B+
47232,33213997,Summer 2016,B
47237,33213997,Fall 2018,A
47238,33213997,Winter 2017,B
48839,64761860,Fall 2013,A
48840,64761860,Fall 2011,C
48841,64761860,Winter 2012,B
48843,83466040,Fall 2011,B+
46574,83466040,Fall 2012,A
5054,83466040,Summer 2011,A
5059,90365890,Fall 2011,B+
5062,96341998,Winter 2018,B
5064,96341998,Winter 2017,C
5065,96341998,Fall 2016,A-
5067,79137519,Winter 2015,A
5068,79137519,Winter 2011,B
5069,79137519,Fall 2018,C
5071,37984109,Fall 2012,A
5072,37984109,Fall 2011,A
5074,37984109,Summer 2012,A-
5080,37984109,Summer 2011,C
5083,65027432,Winter 2011,C
5084,65027432,Winter 2020,F
5095,78391144,Fall 2011,B+
5096,78391144,Winter 2020,B-
5097,78391144,Summer 2014,B-
5099,80241498,Fall 2018,B-
5100,80241498,Fall 2017,C
5101,80241498,Winter 2017,B
5103,91820293,Winter 2020,B+
5104,91820293,Fall 2011,B-
5108,82180265,Summer 2014,B-
5115,82180265,Winter 2019,B-
46575,55924732,Winter 2015,B-
46576,55924732,Winter 2018,B
48392,56443413,Fall 2016,A+
48393,56443413,Summer 2017,A+
48394,56443413,Winter 2018,F
5254,28472498,Fall 2018,B-
5255,28472498,Summer 2019,A+
5256,28472498,Winter 2012,C
5257,28472498,Winter 2019,A
5259,96979164,Fall 2017,F
5260,96979164,Winter 2014,B-
5262,96979164,Winter 2019,A+
5276,89707412,Fall 2020,B
5284,28943265,Fall 2011,A
5285,28943265,Fall 2019,A-
46577,26144856,Summer 2020,C
46578,26144856,Fall 2019,F
5326,40804968,Winter 2013,A-
5337,40804968,Summer 2017,C
5353,12499272,Winter 2015,F
5354,12499272,Summer 2012,B+
5363,12499272,Summer 2018,B+
5364,12499272,Summer 2019,A
5394,34100772,Winter 2016,B-
5398,34100772,Summer 2014,B
5406,50488738,Fall 2015,F
5409,68246953,Winter 2012,F
5410,68246953,Winter 2017,A
5414,89023473,Winter 2020,A
5415,89023473,Winter 2020,F
5416,89023473,Fall 2019,A
5446,89023473,Fall 2014,A
5449,12326222,Fall 2019,A+
5461,12326222,Winter 2018,A-
5477,96729976,Fall 2014,B-
5483,92443897,Winter 2011,B
5484,92443897,Fall 2014,A
5485,92443897,Fall 2016,B
5487,79823127,Summer 2017,C
5492,17903008,Fall 2017,C
5522,65992223,Winter 2018,C
5526,65992223,Fall 2011,F
5527,65992223,Winter 2017,A
5530,65992223,Fall 2012,A
5536,72971994,Summer 2013,A
5567,72971994,Summer 2015,B-
5570,72971994,Fall 2012,C
5575,28177318,Summer 2019,F
5577,28177318,Winter 2016,C
5579,28177318,Winter 2015,B
5585,28177318,Winter 2019,B+
5593,13635649,Fall 2011,A+
5607,42576745,Summer 2011,A
5615,42576745,Winter 2015,B+
5619,90087676,Fall 2014,F
5620,90087676,Summer 2011,C
5621,90087676,Fall 2020,A
5661,25160211,Fall 2012,B-
5702,25160211,Fall 2019,A-
5703,25160211,Winter 2011,F
5720,25160211,Winter 2016,A
40329,34391310,Fall 2018,F
40332,90698390,Summer 2011,A
40335,90698390,Fall 2015,A-
40344,90698390,Summer 2020,B-
40353,34356282,Winter 2018,B-
40354,34356282,Winter 2020,F
40356,62459602,Fall 2012,A-
40358,82764482,Summer 2019,B
46579,82764482,Summer 2018,A+
46580,82764482,Summer 2016,C
46581,82764482,Winter 2011,B
46583,55444487,Fall 2016,A-
46584,55444487,Fall 2016,C
46585,55444487,Summer 2017,A+
47980,67885613,Winter 2016,A
48454,74382873,Winter 2018,A+
48956,74382873,Fall 2011,A-
49309,74382873,Winter 2017,F
49310,74382873,Summer 2020,A-
49701,79998350,Winter 2017,C
49712,79998350,Fall 2015,C
5892,40692523,Winter 2011,A+
5895,40692523,Winter 2015,B
5898,40692523,Summer 2015,B
5928,40385269,Winter 2014,B+
5931,40385269,Summer 2018,B
5932,40385269,Summer 2015,B+
5933,40385269,Winter 2019,A-
5950,62767612,Fall 2017,A-
5951,62767612,Fall 2017,F
5952,62767612,Fall 2019,B
5955,21288933,Fall 2012,B-
5956,21288933,Fall 2016,A
5962,47312505,Winter 2018,A
5963,47312505,Winter 2014,F
5964,47312505,Winter 2020,A
5966,70556915,Fall 2013,A-
5967,70556915,Summer 2017,A
5968,70556915,Fall 2016,A+
6007,88551941,Fall 2020,A-
6008,88551941,Summer 2018,A-
6042,88551941,Fall 2012,A+
6043,88551941,Winter 2017,A-
6048,44232151,Fall 2018,B+
6051,44232151,Fall 2018,F
6080,82399515,Fall 2019,C
6096,82399515,Fall 2017,C
6108,82399515,Winter 2013,A
6112,82399515,Winter 2017,B
6123,38673493,Fall 2011,C
6131,38673493,Summer 2018,A+
6138,38673493,Fall 2011,B
6204,53986312,Winter 2011,B+
6213,53986312,Summer 2012,B+
6227,53986312,Winter 2013,A-
6232,59477775,Winter 2014,A+
6246,92563498,Fall 2017,B+
6251,92563498,Summer 2015,A-
6252,92563498,Fall 2020,A-
6256,92563498,Winter 2015,B+
6263,60167639,Summer 2015,B
6264,60167639,Summer 2020,B
6266,60167639,Winter 2013,A-
6274,79930517,Summer 2014,B-
6283,79930517,Summer 2015,B
6286,93108986,Winter 2019,B
6287,93108986,Summer 2018,A-
6290,66902793,Winter 2016,B
6296,34800179,Winter 2012,C
6297,34800179,Summer 2015,C
6300,26660792,Summer 2012,F
6302,26660792,Winter 2014,B
6326,70497404,Summer 2013,B+
40410,70497404,Fall 2017,A+
40422,70497404,Summer 2020,A+
40424,13613286,Summer 2017,A+
40425,13613286,Summer 2015,B
46587,26049856,Fall 2019,B+
46589,34129146,Fall 2011,A+
46590,34129146,Summer 2013,F
46591,34129146,Summer 2018,F
46592,34129146,Winter 2020,A
46594,95251877,Summer 2018,B
46595,95251877,Fall 2019,B-
46597,78181381,Summer 2011,B
46598,78181381,Summer 2012,B-
46599,78181381,Fall 2018,B-
46602,46776571,Winter 2019,C
48765,75317580,Winter 2017,A
48769,17908887,Fall 2016,B
48770,17908887,Winter 2019,A+
48771,17908887,Summer 2013,A
48772,17908887,Fall 2016,A-
6557,19978117,Winter 2018,F
6562,19978117,Fall 2013,B+
6563,19978117,Summer 2017,B+
46609,83943123,Summer 2019,B-
6626,83943123,Fall 2012,B+
6627,83943123,Winter 2018,F
6692,94559857,Winter 2013,A+
6695,94559857,Summer 2015,A-
6792,57791864,Summer 2018,A+
6818,96713286,Winter 2017,C
46615,99315178,Summer 2016,A+
